name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,18.56,1640223.0,89.94,84.42,1682
Staphylococcus aureus GENE qacC,,-,5.54,489347.0,84.25,84.25,201
Staphylococcus aureus GI 33390968,,-,3.16,279291.0,48.88,48.88,228
Staphylococcus aureus GI 33390947,,-,2.92,257650.0,74.19,74.19,26
Staphylococcus lentus GENE pre,,-,11.21,991238.0,98.17,98.17,1657
Staphylococcus lentus GENE tetK,,-,8.45,747068.0,85.56,85.56,1369
Staphylococcus lentus GENE repL,,-,6.24,551297.0,83.8,83.8,342
Staphylococcus lentus GENE repC,,-,5.18,457517.0,66.36,66.36,495
Staphylococcus lentus GI 60416745,,-,3.71,327498.0,100.0,100.0,21
Staphylococcus lentus GI 60416748,,-,1.68,148022.0,50.0,50.0,15
Enterococcus faecium GI 21886745,,-,23.82,2105021.0,100.0,100.0,200
Enterococcus faecium GI 21886747,,-,1.21,106783.0,40.74,40.74,11
Salmonella Typhimurium GI 46019645,,-,5.31,469468.0,65.51,65.51,481
Klebsiella pneumoniae GENE tnp,,-,3.03,267772.0,52.33,52.33,125
