name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,27.75,110976405.0,93.83,90.45,109126
Staphylococcus aureus GI 33390948,,-,12.71,50804229.0,83.1,72.93,32975
Staphylococcus aureus GENE sdr 1606 Branch,,-,0.72,2866281.0,69.85,54.9,2333
Staphylococcus aureus GENE sdrE,,-,0.25,992524.0,49.54,42.78,10386
Staphylococcus aureus GENE cap 1572 Branch,,-,0.92,3685017.0,91.61,95.48,2210
Staphylococcus aureus GENE set 1584 Branch,,-,0.72,2870078.0,84.87,100.0,54
Staphylococcus aureus GENE cap 1543 Branch,,-,0.64,2562684.0,83.33,71.33,2369
Staphylococcus aureus GENE cap 1562 Branch,,-,0.95,3811855.0,87.0,87.0,4253
Staphylococcus aureus GENE cap 1548 Branch,,-,0.83,3317001.0,83.61,83.61,5655
Staphylococcus aureus GENE 1591 Branch,,-,0.29,1165093.0,61.51,52.99,439
Staphylococcus aureus GENE cap 1575 Branch,,-,0.77,3072680.0,93.51,93.51,5742
Staphylococcus aureus GENE fnb 1642 Branch,,-,0.75,3011657.0,87.16,87.16,1061
Staphylococcus aureus GENE spl 1500 Branch,,-,0.47,1881214.0,79.82,79.49,2414
Staphylococcus aureus GENE 1626 Branch,,-,0.65,2612979.0,50.93,50.93,5854
Staphylococcus aureus GENE cap 1463 Branch,,-,0.33,1312018.0,90.05,100.0,477
Staphylococcus aureus GENE cap 1629 Branch,,-,0.63,2536125.0,93.6,93.6,2915
Staphylococcus aureus GENE ic 1660 Branch,,-,0.33,1332463.0,86.81,76.42,325
Staphylococcus aureus GENE sspB2,,-,0.25,982450.0,79.4,68.52,717
Staphylococcus aureus GeneID SAS1008,,-,0.34,1338988.0,92.69,92.27,4734
Staphylococcus aureus GENE hys 1513 Branch,,-,0.26,1031175.0,48.84,42.99,2141
Staphylococcus aureus GENE cap5J,,-,0.24,940162.0,63.9,63.72,3634
Staphylococcus aureus GENE cap5K,,-,0.2,809475.0,59.92,59.74,3641
Staphylococcus aureus GENE 1484 Branch,,-,0.51,2042584.0,87.5,87.5,37
Staphylococcus aureus GENE spa,,-,0.22,901709.0,54.24,53.05,9648
Staphylococcus aureus GENE cap 1665 Branch,,-,0.25,982365.0,71.78,43.06,1222
Staphylococcus aureus GENE set 1670 Branch,,-,0.34,1351703.0,58.88,100.0,112
Staphylococcus aureus GENE cap 1506 Branch,,-,0.44,1761970.0,90.03,90.03,4986
Staphylococcus aureus GENE cap 1491 Branch,,-,0.4,1617662.0,88.24,88.24,4062
Staphylococcus aureus GENE icaA,,-,0.18,704809.0,41.23,40.92,4720
Staphylococcus aureus GENE icaD,,-,0.15,599104.0,59.06,57.84,761
Staphylococcus aureus GENE cap5M,,-,0.3,1210762.0,75.46,64.79,2198
Staphylococcus aureus GENE hlgA,,-,0.15,617857.0,56.49,57.25,1656
Staphylococcus aureus GENE cap 1472 Branch,,-,0.25,1011758.0,100.0,100.0,38
Staphylococcus aureus GENE cap 1469 Branch,,-,0.24,953795.0,73.5,73.5,2313
Staphylococcus aureus GENE 1458 Branch,,-,0.2,804892.0,78.21,78.21,628
Staphylococcus aureus GENE 1503 Branch,,-,0.17,667017.0,47.99,47.99,533
Staphylococcus aureus GENE SEntM,,-,0.14,557199.0,61.28,100.0,73
Staphylococcus aureus GI 33390920,,-,10.36,41422039.0,100.0,100.0,35113
Staphylococcus aureus GENE dfrA,,-,7.29,29131126.0,93.56,93.56,36274
Staphylococcus aureus GENE thyA,,-,5.35,21398515.0,100.0,100.0,56366
Staphylococcus aureus GeneID SAS0122,,-,0.72,2868516.0,100.0,100.0,3847
Staphylococcus aureus GeneID SASa2550,,-,0.67,2677400.0,100.0,100.0,10220
Staphylococcus aureus GeneID SAS0111,,-,0.63,2534267.0,100.0,100.0,4958
Staphylococcus aureus GeneID SAS0117,,-,0.61,2458255.0,100.0,100.0,6474
Staphylococcus aureus GeneID SASa0120,,-,0.6,2417017.0,99.37,99.37,8840
Staphylococcus aureus GeneID SAS0121,,-,0.6,2404551.0,97.54,97.54,6260
Staphylococcus aureus GENE blaZ,,-,0.6,2377881.0,58.75,58.75,6239
Staphylococcus aureus GeneID SAS0119,,-,0.56,2253917.0,100.0,100.0,7657
Staphylococcus aureus GeneID SAS0115,,-,0.56,2245249.0,100.0,100.0,4918
Staphylococcus aureus GeneID SASa0118,,-,0.53,2128550.0,97.74,97.74,7271
Staphylococcus aureus GeneID SASa0122,,-,0.47,1897336.0,100.0,100.0,3243
Staphylococcus aureus GeneID SASa0649,,-,0.43,1738661.0,96.03,96.03,3890
Staphylococcus aureus GENE blaR1,,-,0.42,1667536.0,66.29,66.29,7202
Staphylococcus aureus GENE blaI,,-,0.36,1435758.0,65.08,65.08,1665
Staphylococcus aureus GeneID SASa0115,,-,0.36,1426394.0,100.0,100.0,2558
Staphylococcus aureus GeneID SAS1009,,-,0.36,1422705.0,98.01,98.01,2795
Staphylococcus aureus GeneID SASa0114,,-,0.35,1411307.0,97.54,97.54,2747
Staphylococcus aureus GeneID SASa1133,,-,0.33,1311352.0,87.3,87.3,2622
Staphylococcus aureus GENE aur,,-,0.32,1281785.0,85.82,85.82,4123
Staphylococcus aureus GENE qacC,,-,0.32,1267326.0,99.32,99.32,972
Staphylococcus aureus GeneID SAS1730,,-,0.31,1255948.0,100.0,100.0,1274
Staphylococcus aureus GeneID SASa0648,,-,0.29,1177284.0,98.29,98.29,2153
Staphylococcus aureus GeneID SASa0647,,-,0.28,1128490.0,99.52,99.52,1820
Staphylococcus aureus GeneID SASd0697,,-,0.28,1122361.0,99.3,99.3,1358
Staphylococcus aureus GeneID SASa0125,,-,0.27,1074387.0,100.0,100.0,1185
Staphylococcus aureus GeneID SASa2284,,-,0.27,1066863.0,88.91,88.91,1911
Staphylococcus aureus GeneID SAS1013,,-,0.26,1035208.0,93.9,93.9,1638
Staphylococcus aureus GENE hlb,,-,0.25,1004030.0,63.6,63.6,3727
Staphylococcus aureus GENE esaC,,-,0.24,971239.0,80.9,80.9,2118
